Time	Correlation	Intensity
2010-11-04 23:54:00	5.69689786e-04	2.90541794e-12
2010-11-04 23:54:01	5.82817709e-04	2.97237046e-12
2010-11-04 23:54:02	5.80680615e-04	2.96147124e-12
2010-11-04 23:54:03	5.78848820e-04	2.95212924e-12
2010-11-04 23:54:04	5.85870701e-04	2.98794068e-12
2010-11-04 23:54:05	6.16095436e-04	3.14208694e-12
2010-11-04 23:54:06	6.19759026e-04	3.16077096e-12
2010-11-04 23:54:07	6.07547001e-04	3.09848976e-12
2010-11-04 23:54:08	6.12737087e-04	3.12495920e-12
2010-11-04 23:54:09	5.96250931e-04	3.04087956e-12
2010-11-04 23:54:10	6.10599993e-04	3.11405998e-12
2010-11-04 23:54:11	6.07852300e-04	3.10004697e-12
2010-11-04 23:54:12	6.33192190e-04	3.22928037e-12
2010-11-04 23:54:13	6.13347685e-04	3.12807330e-12
2010-11-04 23:54:14	6.17927231e-04	3.15142895e-12
2010-11-04 23:54:15	6.12737087e-04	3.12495920e-12
2010-11-04 23:54:16	6.09684095e-04	3.10938897e-12
2010-11-04 23:54:17	6.21285522e-04	3.16855638e-12
2010-11-04 23:54:18	6.17927231e-04	3.15142895e-12
2010-11-04 23:54:19	6.11821190e-04	3.12028819e-12
2010-11-04 23:54:20	6.14568940e-04	3.13430183e-12
2010-11-04 23:54:21	6.38077036e-04	3.25419291e-12
2010-11-04 23:54:22	6.29833899e-04	3.21215294e-12
2010-11-04 23:54:23	6.63111627e-04	3.38186910e-12
2010-11-04 23:54:24	6.36855839e-04	3.24796470e-12
2010-11-04 23:54:25	6.42351224e-04	3.27599166e-12
2010-11-04 23:54:26	6.33497490e-04	3.23083727e-12
2010-11-04 23:54:27	6.58226840e-04	3.35695688e-12
2010-11-04 23:54:28	6.63111627e-04	3.38186910e-12
2010-11-04 23:54:29	6.41435327e-04	3.27132035e-12
2010-11-04 23:54:30	6.66164618e-04	3.39743964e-12
2010-11-04 23:54:31	6.78376586e-04	3.45972052e-12
2010-11-04 23:54:32	6.99442287e-04	3.56715581e-12
2010-11-04 23:54:33	6.93031005e-04	3.53445847e-12
2010-11-04 23:54:34	6.84177328e-04	3.48930439e-12
2010-11-04 23:54:35	7.33635912e-04	3.74154329e-12
2010-11-04 23:54:36	7.26614031e-04	3.70573185e-12
2010-11-04 23:54:37	7.29667023e-04	3.72130175e-12
2010-11-04 23:54:38	7.58975802e-04	3.87077669e-12
2010-11-04 23:54:39	7.15928501e-04	3.65123544e-12
2010-11-04 23:54:40	7.13180809e-04	3.63722212e-12
2010-11-04 23:54:41	7.50427425e-04	3.82718014e-12
2010-11-04 23:54:42	7.62028794e-04	3.88634723e-12
2010-11-04 23:54:43	7.94390624e-04	4.05139239e-12
2010-11-04 23:54:44	8.09350342e-04	4.12768692e-12
2010-11-04 23:54:45	8.72547389e-04	4.44999182e-12
2010-11-04 23:54:46	9.29333211e-04	4.73959938e-12
2010-11-04 23:54:47	9.54062503e-04	4.86571868e-12
2010-11-04 23:54:48	9.68716922e-04	4.94045630e-12
2010-11-04 23:54:49	9.43071733e-04	4.80966569e-12
2010-11-04 23:54:50	1.01634371e-03	5.18335320e-12
2010-11-04 23:54:51	1.05664332e-03	5.38888113e-12
2010-11-04 23:54:52	1.04168360e-03	5.31258629e-12
2010-11-04 23:54:53	1.09327934e-03	5.57572504e-12
2010-11-04 23:54:54	1.08473096e-03	5.53212880e-12
2010-11-04 23:54:55	1.16288767e-03	5.93072697e-12
2010-11-04 23:54:56	1.21997879e-03	6.22189174e-12
2010-11-04 23:54:57	1.28897664e-03	6.57378113e-12
2010-11-04 23:54:58	1.40804367e-03	7.18102228e-12
2010-11-04 23:54:59	1.44010014e-03	7.34451086e-12
2010-11-04 23:55:00	1.57504273e-03	8.03271753e-12
2010-11-04 23:55:01	1.60618336e-03	8.19153543e-12
2010-11-04 23:55:02	1.61228934e-03	8.22267587e-12
2010-11-04 23:55:03	1.64068223e-03	8.36747918e-12
2010-11-04 23:55:04	1.62297487e-03	8.27717227e-12
2010-11-04 23:55:05	1.67243346e-03	8.52941086e-12
2010-11-04 23:55:06	1.65289419e-03	8.42976069e-12
2010-11-04 23:55:07	1.65900018e-03	8.46090113e-12
2010-11-04 23:55:08	1.68006588e-03	8.56833642e-12
2010-11-04 23:55:09	1.63152325e-03	8.32076914e-12
2010-11-04 23:55:10	1.69227796e-03	8.63061730e-12
2010-11-04 23:55:11	1.72463967e-03	8.79566215e-12
2010-11-04 23:55:12	1.81195559e-03	9.24097413e-12
2010-11-04 23:55:13	1.87851093e-03	9.58040583e-12
2010-11-04 23:55:14	1.85317104e-03	9.45117211e-12
2010-11-04 23:55:15	2.01742235e-03	1.02888547e-11
2010-11-04 23:55:16	2.20945617e-03	1.12682280e-11
2010-11-04 23:55:17	2.44209473e-03	1.24546836e-11
2010-11-04 23:55:18	2.70465272e-03	1.37937290e-11
2010-11-04 23:55:19	2.84692249e-03	1.45193043e-11
2010-11-04 23:55:20	3.11925006e-03	1.59081753e-11
2010-11-04 23:55:21	3.26365698e-03	1.66446521e-11
2010-11-04 23:55:22	3.31555796e-03	1.69093471e-11
2010-11-04 23:55:23	3.28960759e-03	1.67770002e-11
2010-11-04 23:55:24	3.19343805e-03	1.62865345e-11
2010-11-04 23:55:25	3.33570782e-03	1.70121111e-11
2010-11-04 23:55:26	3.38180806e-03	1.72472219e-11
2010-11-04 23:55:27	3.37264920e-03	1.72005100e-11
2010-11-04 23:55:28	3.33845546e-03	1.70261225e-11
2010-11-04 23:55:29	3.24961334e-03	1.65730298e-11
2010-11-04 23:55:30	3.42577137e-03	1.74714351e-11
2010-11-04 23:55:31	3.56101920e-03	1.81611987e-11
2010-11-04 23:55:32	3.75366351e-03	1.91436852e-11
2010-11-04 23:55:33	3.91852576e-03	1.99844822e-11
2010-11-04 23:55:34	3.88860609e-03	1.98318912e-11
2010-11-04 23:55:35	4.23634285e-03	2.16053502e-11
2010-11-04 23:55:36	4.38258145e-03	2.23511658e-11
2010-11-04 23:55:37	4.45707468e-03	2.27310838e-11
2010-11-04 23:55:38	4.56911977e-03	2.33025094e-11
2010-11-04 23:55:39	4.40761633e-03	2.24788452e-11
2010-11-04 23:55:40	4.67628008e-03	2.38490297e-11
2010-11-04 23:55:41	4.75321570e-03	2.42414003e-11
2010-11-04 23:55:42	4.80481144e-03	2.45045390e-11
2010-11-04 23:55:43	4.81732888e-03	2.45683774e-11
2010-11-04 23:55:44	4.64788731e-03	2.37042251e-11
2010-11-04 23:55:45	4.77428129e-03	2.43488343e-11
2010-11-04 23:55:46	4.82221367e-03	2.45932903e-11
2010-11-04 23:55:47	4.83869994e-03	2.46773715e-11
2010-11-04 23:55:48	4.84450068e-03	2.47069519e-11
2010-11-04 23:55:49	4.67597507e-03	2.38474722e-11
2010-11-04 23:55:50	4.91471961e-03	2.50650720e-11
2010-11-04 23:55:51	5.00569912e-03	2.55290636e-11
2010-11-04 23:55:52	5.09148836e-03	2.59665924e-11
2010-11-04 23:55:53	5.16842399e-03	2.63589629e-11
2010-11-04 23:55:54	5.02493279e-03	2.56271575e-11
2010-11-04 23:55:55	5.32809552e-03	2.71732870e-11
2010-11-04 23:55:56	5.45082614e-03	2.77992109e-11
2010-11-04 23:55:57	5.63095324e-03	2.87178615e-11
2010-11-04 23:55:58	5.78238210e-03	2.94901500e-11
2010-11-04 23:55:59	5.70330955e-03	2.90868793e-11
2010-11-04 23:56:00	5.95335010e-03	3.03620875e-11
2010-11-04 23:56:01	6.06844807e-03	3.09490858e-11
2010-11-04 23:56:02	6.13317173e-03	3.12791780e-11
2010-11-04 23:56:03	6.14172034e-03	3.13227736e-11
2010-11-04 23:56:04	5.94907580e-03	3.03402897e-11
2010-11-04 23:56:05	6.20766496e-03	3.16590909e-11
2010-11-04 23:56:06	6.20278018e-03	3.16341781e-11
2010-11-04 23:56:07	6.28215820e-03	3.20390089e-11
2010-11-04 23:56:08	6.23758463e-03	3.18116856e-11
2010-11-04 23:56:09	6.01532590e-03	3.06781645e-11
2010-11-04 23:56:10	6.24033203e-03	3.18256958e-11
2010-11-04 23:56:11	6.26933575e-03	3.19736129e-11
2010-11-04 23:56:12	6.23392081e-03	3.17929953e-11
2010-11-04 23:56:13	6.20064326e-03	3.16232804e-11
2010-11-04 23:56:14	6.02784334e-03	3.07420029e-11
2010-11-04 23:56:15	6.22750958e-03	3.17602999e-11
2010-11-04 23:56:16	6.19911682e-03	3.16154978e-11
2010-11-04 23:56:17	6.15881709e-03	3.14099699e-11
2010-11-04 23:56:18	6.17163954e-03	3.14753658e-11
2010-11-04 23:56:19	5.96220372e-03	3.04072406e-11
2010-11-04 23:56:20	6.21254975e-03	3.16840038e-11
2010-11-04 23:56:21	6.25742879e-03	3.19128870e-11
2010-11-04 23:56:22	6.27941033e-03	3.20249936e-11
2010-11-04 23:56:23	6.32886915e-03	3.22772347e-11
2010-11-04 23:56:24	6.16553379e-03	3.14442229e-11
2010-11-04 23:56:25	6.38901303e-03	3.25839666e-11
2010-11-04 23:56:26	6.46442221e-03	3.29685521e-11
2010-11-04 23:56:27	6.52212417e-03	3.32628338e-11
2010-11-04 23:56:28	6.58379449e-03	3.35773532e-11
2010-11-04 23:56:29	6.43694540e-03	3.28284226e-11
2010-11-04 23:56:30	6.75323606e-03	3.44415056e-11
2010-11-04 23:56:31	6.81795971e-03	3.47715978e-11
2010-11-04 23:56:32	6.93763746e-03	3.53819515e-11
2010-11-04 23:56:33	7.07013765e-03	3.60577036e-11
2010-11-04 23:56:34	6.91992976e-03	3.52916427e-11
2010-11-04 23:56:35	7.19347876e-03	3.66867425e-11
2010-11-04 23:56:36	7.22797774e-03	3.68626876e-11
2010-11-04 23:56:37	7.24049471e-03	3.69265234e-11
2010-11-04 23:56:38	7.28628971e-03	3.71600793e-11
2010-11-04 23:56:39	7.05548329e-03	3.59829675e-11
2010-11-04 23:56:40	7.29331188e-03	3.71958923e-11
2010-11-04 23:56:41	7.33849639e-03	3.74263331e-11
2010-11-04 23:56:42	7.32353656e-03	3.73500395e-11
2010-11-04 23:56:43	7.27590965e-03	3.71071385e-11
2010-11-04 23:56:44	6.85551157e-03	3.49631105e-11
2010-11-04 23:56:45	7.12478627e-03	3.63364100e-11
2010-11-04 23:56:46	7.11868005e-03	3.63052696e-11
2010-11-04 23:56:47	7.06281047e-03	3.60203356e-11
2010-11-04 23:56:48	7.11684860e-03	3.62959295e-11
2010-11-04 23:56:49	6.83688838e-03	3.48681316e-11
2010-11-04 23:56:50	7.08265463e-03	3.61215395e-11
2010-11-04 23:56:51	7.11196382e-03	3.62710166e-11
2010-11-04 23:56:52	7.10372068e-03	3.62289760e-11
2010-11-04 23:56:53	7.10829999e-03	3.62523288e-11
2010-11-04 23:56:54	6.78773504e-03	3.46174506e-11
2010-11-04 23:56:55	7.11410074e-03	3.62819168e-11
2010-11-04 23:56:56	7.18065631e-03	3.66213491e-11
2010-11-04 23:56:57	7.19592115e-03	3.66991977e-11
2010-11-04 23:56:58	7.20019545e-03	3.67209955e-11
2010-11-04 23:56:59	6.99808681e-03	3.56902433e-11
2010-11-04 23:57:00	7.22614583e-03	3.68533424e-11
2010-11-04 23:57:01	7.23622087e-03	3.69047282e-11
2010-11-04 23:57:02	7.30888220e-03	3.72752984e-11
2010-11-04 23:57:03	7.29025900e-03	3.71803221e-11
2010-11-04 23:57:04	7.03533320e-03	3.58802011e-11
2010-11-04 23:57:05	7.27652013e-03	3.71102536e-11
2010-11-04 23:57:06	7.23774731e-03	3.69125133e-11
2010-11-04 23:57:07	7.16081169e-03	3.65201402e-11
2010-11-04 23:57:08	7.16325408e-03	3.65325953e-11
2010-11-04 23:57:09	6.98007410e-03	3.55983795e-11
2010-11-04 23:57:10	7.05059851e-03	3.59580547e-11
2010-11-04 23:57:11	7.01762596e-03	3.57898923e-11
2010-11-04 23:57:12	7.00602448e-03	3.57307264e-11
2010-11-04 23:57:13	6.95656613e-03	3.54784904e-11
2010-11-04 23:57:14	6.73949765e-03	3.43714396e-11
2010-11-04 23:57:15	6.95503922e-03	3.54706977e-11
2010-11-04 23:57:16	6.93122623e-03	3.53492535e-11
2010-11-04 23:57:17	6.88146194e-03	3.50954574e-11
2010-11-04 23:57:18	6.83230860e-03	3.48447738e-11
2010-11-04 23:57:19	6.54196832e-03	3.33640402e-11
2010-11-04 23:57:20	6.78620860e-03	3.46096629e-11
2010-11-04 23:57:21	6.69736601e-03	3.41565690e-11
2010-11-04 23:57:22	6.72087446e-03	3.42764632e-11
2010-11-04 23:57:23	6.70927297e-03	3.42172949e-11
2010-11-04 23:57:24	6.39542472e-03	3.26166696e-11
2010-11-04 23:57:25	6.58959523e-03	3.36069362e-11
2010-11-04 23:57:26	6.56028651e-03	3.34574615e-11
2010-11-04 23:57:27	6.43663993e-03	3.28268651e-11
2010-11-04 23:57:28	6.41130004e-03	3.26976307e-11
2010-11-04 23:57:29	6.15790114e-03	3.14052973e-11
2010-11-04 23:57:30	6.25345996e-03	3.18926468e-11
2010-11-04 23:57:31	6.20461209e-03	3.16435232e-11
2010-11-04 23:57:32	6.15271088e-03	3.13788269e-11
2010-11-04 23:57:33	6.06447924e-03	3.09288430e-11
2010-11-04 23:57:34	5.83642023e-03	2.97657440e-11
2010-11-04 23:57:35	5.96342515e-03	3.04134707e-11
2010-11-04 23:57:36	5.94358053e-03	3.03122592e-11
2010-11-04 23:57:37	5.91335585e-03	3.01581145e-11
2010-11-04 23:57:38	5.88465761e-03	3.00117550e-11
2010-11-04 23:57:39	5.68102254e-03	2.89732177e-11
2010-11-04 23:57:40	5.84008358e-03	2.97844267e-11
2010-11-04 23:57:41	5.78268757e-03	2.94917101e-11
2010-11-04 23:57:42	5.71674248e-03	2.91553903e-11
2010-11-04 23:57:43	5.68987615e-03	2.90183708e-11
2010-11-04 23:57:44	5.44166751e-03	2.77525053e-11
2010-11-04 23:57:45	5.52745676e-03	2.81900290e-11
2010-11-04 23:57:46	5.53631037e-03	2.82351847e-11
2010-11-04 23:57:47	5.46944980e-03	2.78941948e-11
2010-11-04 23:57:48	5.46914432e-03	2.78926373e-11
2010-11-04 23:57:49	5.18277287e-03	2.64321415e-11
2010-11-04 23:57:50	5.34641370e-03	2.72667109e-11
2010-11-04 23:57:51	5.32107381e-03	2.71374765e-11
2010-11-04 23:57:52	5.21879829e-03	2.66158741e-11
2010-11-04 23:57:53	5.18460479e-03	2.64414841e-11
2010-11-04 23:57:54	4.91441414e-03	2.50635120e-11
2010-11-04 23:57:55	5.09759411e-03	2.59977303e-11
2010-11-04 23:57:56	5.03867120e-03	2.56972235e-11
2010-11-04 23:57:57	4.97120013e-03	2.53531236e-11
2010-11-04 23:57:58	4.93792212e-03	2.51834037e-11
2010-11-04 23:57:59	4.75565810e-03	2.42538554e-11
2010-11-04 23:58:00	4.82038176e-03	2.45839477e-11
2010-11-04 23:58:01	4.80175857e-03	2.44889713e-11
2010-11-04 23:58:02	4.74894140e-03	2.42196025e-11
2010-11-04 23:58:03	4.70100949e-03	2.39751465e-11
2010-11-04 23:58:04	4.48974175e-03	2.28976836e-11
2010-11-04 23:58:05	4.63475939e-03	2.36372717e-11
2010-11-04 23:58:06	4.57797339e-03	2.33476676e-11
2010-11-04 23:58:07	4.58133174e-03	2.33647928e-11
2010-11-04 23:58:08	4.48455196e-03	2.28712158e-11
2010-11-04 23:58:09	4.30595130e-03	2.19603528e-11
2010-11-04 23:58:10	4.38868767e-03	2.23823088e-11
2010-11-04 23:58:11	4.36914852e-03	2.22826574e-11
2010-11-04 23:58:12	4.33403905e-03	2.21035998e-11
2010-11-04 23:58:13	4.32701688e-03	2.20677868e-11
2010-11-04 23:58:14	4.17161919e-03	2.12752605e-11
2010-11-04 23:58:15	4.21680370e-03	2.15056988e-11
2010-11-04 23:58:16	4.20245435e-03	2.14325178e-11
2010-11-04 23:58:17	4.13437281e-03	2.10853016e-11
2010-11-04 23:58:18	4.14231047e-03	2.11257847e-11
2010-11-04 23:58:19	3.96432076e-03	2.02180367e-11
2010-11-04 23:58:20	4.01652697e-03	2.04842880e-11
2010-11-04 23:58:21	3.98782874e-03	2.03379272e-11
2010-11-04 23:58:22	3.99240805e-03	2.03612825e-11
2010-11-04 23:58:23	3.93928587e-03	2.00903586e-11
2010-11-04 23:58:24	3.78449890e-03	1.93009449e-11
2010-11-04 23:58:25	3.82235600e-03	1.94940164e-11
2010-11-04 23:58:26	3.83639988e-03	1.95656399e-11
2010-11-04 23:58:27	3.80403805e-03	1.94005938e-11
2010-11-04 23:58:28	3.79274203e-03	1.93429855e-11
2010-11-04 23:58:29	3.53873242e-03	1.80475358e-11
2010-11-04 23:58:30	3.72252287e-03	1.89848679e-11
2010-11-04 23:58:31	3.69107700e-03	1.88244931e-11
2010-11-04 23:58:32	3.63703887e-03	1.85488992e-11
2010-11-04 23:58:33	3.66237876e-03	1.86781335e-11
2010-11-04 23:58:34	3.46393394e-03	1.76660629e-11
2010-11-04 23:58:35	3.57323117e-03	1.82234796e-11
2010-11-04 23:58:36	3.54941795e-03	1.81020316e-11
2010-11-04 23:58:37	3.47492471e-03	1.77221174e-11
2010-11-04 23:58:38	3.47828306e-03	1.77392452e-11
2010-11-04 23:58:39	3.36776441e-03	1.71755984e-11
2010-11-04 23:58:40	3.44347884e-03	1.75617426e-11
2010-11-04 23:58:41	3.41600180e-03	1.74216107e-11
2010-11-04 23:58:42	3.37264920e-03	1.72005100e-11
2010-11-04 23:58:43	3.36074247e-03	1.71397866e-11
2010-11-04 23:58:44	3.21175600e-03	1.63799571e-11
2010-11-04 23:58:45	3.32013750e-03	1.69327012e-11
2010-11-04 23:58:46	3.30731506e-03	1.68673078e-11
2010-11-04 23:58:47	3.25388741e-03	1.65948264e-11
2010-11-04 23:58:48	3.25205573e-03	1.65854850e-11
2010-11-04 23:58:49	3.10825929e-03	1.58521233e-11
2010-11-04 23:58:50	3.19649116e-03	1.63021047e-11
2010-11-04 23:58:51	3.18611087e-03	1.62491664e-11
2010-11-04 23:58:52	3.16321338e-03	1.61323885e-11
2010-11-04 23:58:53	3.15985503e-03	1.61152620e-11
2010-11-04 23:58:54	2.94828205e-03	1.50362392e-11
2010-11-04 23:58:55	3.10764881e-03	1.58490095e-11
2010-11-04 23:58:56	3.11467075e-03	1.58848213e-11
2010-11-04 23:58:57	3.10734357e-03	1.58474520e-11
2010-11-04 23:58:58	3.06399097e-03	1.56263538e-11
2010-11-04 23:58:59	2.96904263e-03	1.51421182e-11
2010-11-04 23:59:00	3.05727427e-03	1.55920996e-11
2010-11-04 23:59:01	3.03346082e-03	1.54706516e-11
2010-11-04 23:59:02	2.96507357e-03	1.51218754e-11
2010-11-04 23:59:03	2.97911745e-03	1.51934989e-11
2010-11-04 23:59:04	2.87562073e-03	1.46656651e-11
2010-11-04 23:59:05	2.95347231e-03	1.50627095e-11
2010-11-04 23:59:06	2.96629476e-03	1.51281030e-11
2010-11-04 23:59:07	2.95988354e-03	1.50954050e-11
2010-11-04 23:59:08	2.91195139e-03	1.48509528e-11
2010-11-04 23:59:09	2.80051702e-03	1.42826384e-11
2010-11-04 23:59:10	2.92935362e-03	1.49397040e-11
2010-11-04 23:59:11	2.88935937e-03	1.47357336e-11
2010-11-04 23:59:12	2.88294791e-03	1.47030357e-11
2010-11-04 23:59:13	2.89393868e-03	1.47590865e-11
2010-11-04 23:59:14	2.79929582e-03	1.42764096e-11
2010-11-04 23:59:15	2.86981999e-03	1.46360835e-11
2010-11-04 23:59:16	2.84692249e-03	1.45193043e-11
2010-11-04 23:59:17	2.84448010e-03	1.45068491e-11
2010-11-04 23:59:18	2.85547087e-03	1.45629012e-11
2010-11-04 23:59:19	2.75197416e-03	1.40350699e-11
2010-11-04 23:59:20	2.84692249e-03	1.45193043e-11
2010-11-04 23:59:21	2.83226813e-03	1.44445682e-11
2010-11-04 23:59:22	2.82127736e-03	1.43885149e-11
2010-11-04 23:59:23	2.78891553e-03	1.42234688e-11
2010-11-04 23:59:24	2.68847193e-03	1.37112078e-11
